method,topics,window,ngram,p,r,f,mrr,mp,mr,mf,edge_omega,node_phi,topn
Ours,5,2,2,0.14670255720053835,0.14829931972789115,0.14749661705006767,0.36405555555555563,0.14827777777777784,0.16182178932178937,0.1547540071796002,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,10,2,2,0.14593140551445863,0.14761904761904762,0.14677037538045315,0.3632222222222223,0.14761111111111117,0.159738455988456,0.15343552423479256,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,15,2,2,0.14468371467025573,0.14625850340136054,0.14546684709066307,0.3639444444444445,0.14627777777777784,0.15921067821067825,0.1524704698368762,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,20,2,2,0.14131897711978467,0.14285714285714285,0.1420838971583221,0.36161111111111116,0.14294444444444449,0.15568290043290048,0.1490419822137929,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,25,2,2,0.14324142568930734,0.14489795918367346,0.14406493067297937,0.3594444444444445,0.1449444444444445,0.15743290043290045,0.15093078021291914,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,30,2,2,0.14122394082044384,0.14285714285714285,0.14203584714237405,0.3603333333333334,0.14294444444444449,0.15621067821067824,0.14928341132809225,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,35,2,2,0.1398789509078682,0.1414965986394558,0.14068312478863712,0.35338888888888886,0.14161111111111113,0.15430591630591634,0.14768621089386877,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,40,2,2,0.14189643577673167,0.1435374149659864,0.14271220831924247,0.36127777777777786,0.14361111111111113,0.15747258297258304,0.1502227656602546,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,45,2,2,0.14045698924731181,0.14217687074829932,0.14131169709263014,0.35705555555555557,0.1421111111111112,0.1553614718614719,0.14844118519740226,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,50,2,2,0.1425689307330195,0.14421768707482993,0.1433885694961109,0.3633333333333334,0.14427777777777784,0.1569540644540645,0.15034920256002604,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,55,2,2,0.13920645595158038,0.14081632653061224,0.1400067636117687,0.35450000000000004,0.14094444444444448,0.1527847522847523,0.1466259552686543,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,60,2,2,0.1378614660390047,0.13945578231292516,0.1386540412580318,0.35355555555555557,0.13961111111111116,0.1522106782106783,0.1456388980230401,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,65,2,2,0.14045698924731181,0.14217687074829932,0.14131169709263014,0.3602222222222222,0.14200000000000007,0.15572919672919683,0.148548050903181,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,70,2,2,0.1378614660390047,0.13945578231292516,0.1386540412580318,0.364,0.13961111111111113,0.15146332371332377,0.14529591325293464,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,75,2,2,0.14055144586415602,0.14217687074829932,0.1413594859655056,0.3651111111111111,0.14227777777777784,0.15415524290524296,0.14797855746849864,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,80,2,2,0.14055144586415602,0.14217687074829932,0.1413594859655056,0.3531111111111111,0.14227777777777775,0.15696332371332378,0.1492601970736281,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,85,2,2,0.14189643577673167,0.1435374149659864,0.14271220831924247,0.36377777777777776,0.1436111111111112,0.15527561327561334,0.1492157498579117,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,90,2,2,0.14131897711978467,0.14285714285714285,0.1420838971583221,0.3613888888888889,0.14294444444444446,0.15589586339586342,0.14913950360549688,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,95,2,2,0.14055144586415602,0.14217687074829932,0.1413594859655056,0.35700000000000004,0.14227777777777778,0.15501635401635408,0.14837415212711236,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,100,2,2,0.13911290322580644,0.14081632653061224,0.13995943204868155,0.36138888888888887,0.14077777777777783,0.15414586339586345,0.14715885112601154,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,10,2,2,0.1472763954270343,0.1489795918367347,0.14812309773419005,0.3705,0.14877777777777784,0.16370141895141904,0.15588323053561842,1 3 1,[[ 0.88]] [[ 0.12]],5
Ours,10,2,2,0.13718897108271688,0.13877551020408163,0.13797768008116335,0.33044444444444443,0.13877777777777772,0.15196332371332372,0.145071558582546,1 3 1,[[ 0.5]] [[ 0.5]],5
Ours,10,2,2,0.1480484522207268,0.14965986394557823,0.14884979702300408,0.3715555555555556,0.1496111111111112,0.16448845598845604,0.15669745038256008,1 3 1,[[ 0.9]] [[ 0.1]],5
Ours,10,2,2,0.1480484522207268,0.14965986394557823,0.14884979702300408,0.36511111111111116,0.1496111111111112,0.1629606782106783,0.15600082264250734,1 3 1,[[ 0.91]] [[ 0.09]],5
Ours,10,2,2,0.1480484522207268,0.14965986394557823,0.14884979702300408,0.3670555555555556,0.1496111111111112,0.16365512265512275,0.15631831394716517,1 3 1,[[ 0.92]] [[ 0.08]],5
Ours,10,2,2,0.14458641560188298,0.14625850340136054,0.14541765302671628,0.35622222222222216,0.1461111111111112,0.1603125300625301,0.15288273321702558,1 3 1,[[ 0.8]] [[ 0.2]],5
Ours,10,2,2,0.14381720430107528,0.145578231292517,0.14469235970250172,0.3650555555555556,0.14544444444444454,0.15768290043290048,0.151316614877696,1 3 1,[[ 0.99]] [[ 0.01]],5
Ours,20,2,2,0.14333781965006728,0.14489795918367346,0.14411366711772663,0.36088888888888887,0.1449444444444445,0.15871067821067827,0.15151551457127824,1 3 1,[[ 0.9]] [[ 0.1]],5
Ours,30,2,2,0.1426648721399731,0.14421768707482993,0.14343707713125847,0.36422222222222217,0.1442777777777778,0.15871067821067822,0.15115047130847173,1 3 1,[[ 0.9]] [[ 0.1]],5
Ours,40,2,2,0.14333781965006728,0.14489795918367346,0.14411366711772663,0.3611111111111111,0.1449444444444445,0.15948845598845604,0.15186903659674697,1 3 1,[[ 0.9]] [[ 0.1]],5
Ours,50,2,2,0.14468371467025573,0.14625850340136054,0.14546684709066307,0.36222222222222217,0.1462777777777778,0.15930327080327084,0.15251291632146835,1 3 1,[[ 0.9]] [[ 0.1]],5
Ours,60,2,2,0.13930013458950202,0.14081632653061224,0.14005412719891747,0.35466666666666674,0.14094444444444448,0.15443290043290053,0.14738069613631244,1 3 1,[[ 0.9]] [[ 0.1]],5
Ours,30,2,2,0.14199192462987886,0.1435374149659864,0.14276048714479028,0.3665555555555555,0.14361111111111116,0.15804401154401157,0.1504822852170937,1 3 1,[[ 0.9]] [[ 0.1]],5
Ours,40,2,2,0.14199192462987886,0.1435374149659864,0.14276048714479028,0.36150000000000004,0.14361111111111113,0.15840512265512272,0.15064578076820836,1 3 1,[[ 0.9]] [[ 0.1]],5
Ours,100,2,2,0.14189643577673167,0.1435374149659864,0.14271220831924247,0.36649999999999994,0.14344444444444446,0.1577291967291968,0.15024805563540994,1 3 1,[[ 0.9]] [[ 0.1]],5
Ours,80,2,2,0.14131897711978467,0.14285714285714285,0.1420838971583221,0.35850000000000004,0.14294444444444443,0.1565188792688793,0.1494240026773708,1 3 1,[[ 0.9]] [[ 0.1]],5
Ours,20,2,2,0.1440107671601615,0.145578231292517,0.14479025710419485,0.3622222222222222,0.14561111111111116,0.1595440115440116,0.1522594842250306,1 3 1,[[ 0.9]] [[ 0.1]],5
Ours,70,2,2,0.14189643577673167,0.1435374149659864,0.14271220831924247,0.371,0.14361111111111116,0.1575069745069746,0.15023841274937685,1 3 1,[[ 0.9]] [[ 0.1]],5
Ours,90,2,2,0.14064602960969044,0.14217687074829932,0.14140730717185387,0.3602222222222223,0.14227777777777778,0.156451418951419,0.14902835385566068,1 3 1,[[ 0.9]] [[ 0.1]],5
Ours,50,2,2,0.14333781965006728,0.14489795918367346,0.14411366711772663,0.3628888888888889,0.14494444444444446,0.15791438191438195,0.15115169421708916,1 3 1,[[ 0.9]] [[ 0.1]],5
Ours,10,3,2,0.1425689307330195,0.14421768707482993,0.1433885694961109,0.3478888888888889,0.14411111111111125,0.16008104858104868,0.15167687294894655,1 3 1,[[ 0.9]] [[ 0.1]],5
Ours,10,5,2,0.14535666218034993,0.1469387755102041,0.1461434370771313,0.35188888888888886,0.14633333333333345,0.16114057239057247,0.1533804115028057,1 3 1,[[ 0.9]] [[ 0.1]],5
Ours,10,10,2,0.13651647612642906,0.1380952380952381,0.1373013189042949,0.33077777777777784,0.13766666666666671,0.14830723905723914,0.14278899462427316,1 3 1,[[ 0.9]] [[ 0.1]],5
Ours,10,2,2,0.1452589105581708,0.1469387755102041,0.14609401420358473,0.3669444444444444,0.14677777777777784,0.16156253006253013,0.1538156934513743,1 3 1,[[ 0.85]] [[ 0.15]],5
Ours,10,2,2,0.1452589105581708,0.1469387755102041,0.14609401420358473,0.3676111111111111,0.14677777777777784,0.16164586339586348,0.15385344992316868,1 3 1,[[ 0.86]] [[ 0.14]],5
Ours,10,2,2,0.14593140551445863,0.14761904761904762,0.14677037538045315,0.36972222222222223,0.1474444444444445,0.162451418951419,0.1545845688550317,1 3 1,[[ 0.87]] [[ 0.13]],5
Ours,10,2,2,0.1472763954270343,0.1489795918367347,0.14812309773419005,0.37077777777777776,0.14877777777777784,0.16395141895141901,0.15599648533122248,1 3 1,[[ 0.88]] [[ 0.12]],5
Ours,10,2,2,0.14794889038332212,0.14965986394557823,0.1487994589110585,0.3708888888888889,0.1494444444444445,0.16448845598845604,0.15660598738661582,1 3 1,[[ 0.89]] [[ 0.11]],5
Ours,10,2,2,0.1480484522207268,0.14965986394557823,0.14884979702300408,0.371,0.1496111111111112,0.16448845598845604,0.15669745038256008,1 3 1,[[ 0.9]] [[ 0.1]],5
Ours,10,2,2,0.14737550471063257,0.1489795918367347,0.1481732070365359,0.3681666666666667,0.14894444444444452,0.16254401154401163,0.15544734985678837,1 3 1,[[ 0.91]] [[ 0.09]],5
Ours,10,2,2,0.148721399730821,0.15034013605442176,0.14952638700947224,0.36883333333333335,0.15027777777777787,0.16407178932178945,0.15687213520158974,1 3 1,[[ 0.92]] [[ 0.08]],5
Ours,10,2,2,0.1480484522207268,0.14965986394557823,0.14884979702300408,0.3685555555555556,0.1496111111111112,0.16348845598845607,0.15624224447742277,1 3 1,[[ 0.93]] [[ 0.07]],5
Ours,10,2,2,0.14602960969044415,0.14761904761904762,0.14682002706359948,0.3662777777777778,0.14761111111111117,0.1601551226551227,0.15362748093551684,1 3 1,[[ 0.94]] [[ 0.06]],5
Ours,10,2,2,0.14593140551445863,0.14761904761904762,0.14677037538045315,0.3657222222222222,0.14761111111111117,0.159738455988456,0.15343552423479256,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,10,2,2,0.14458641560188298,0.14625850340136054,0.14541765302671628,0.3637777777777778,0.14627777777777784,0.1586551226551227,0.15221524959822366,1 3 1,[[ 0.96]] [[ 0.04]],5
Ours,10,2,2,0.1452589105581708,0.1469387755102041,0.14609401420358473,0.36483333333333334,0.14694444444444452,0.15921067821067827,0.15283183541988585,1 3 1,[[ 0.97]] [[ 0.03]],5
Ours,10,2,2,0.1452589105581708,0.1469387755102041,0.14609401420358473,0.36649999999999994,0.14694444444444452,0.15948845598845604,0.15295970196031655,1 3 1,[[ 0.98]] [[ 0.02]],5
Ours,10,2,2,0.148721399730821,0.15034013605442176,0.14952638700947224,0.3677222222222223,0.15027777777777787,0.16407178932178945,0.15687213520158974,1 3 1,[[ 0.92]] [[ 0.08]],5
CTR,,2,2,0.13733333333333334,0.1401360544217687,0.13872053872053874,0.33072222222222225,0.13994444444444448,0.15387205387205385,0.14657814804840766,1 3 1,,5,
